Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Johnny Newman,,6.7,4.5,4.4,4.1,3.7,3.7,3.5,3.4,3.1,2.8,2.8,2.7,2.3,1.2,0.9,0.3,NA,NA,NA
Al Harrington,84.1,5.9,5.4,4.3,3.9,3.9,3.8,3.5,3.2,2.6,2.1,1.6,1.2,1,0.4,0,-0.2,NA,NA,NA
Mark Olberding,84.1,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,NA,NA,NA,NA,NA,NA,NA
Matt Barnes,83.1,6.3,5.9,4.3,4.3,3.7,3.5,3,3,2.6,2.3,2,1,0.7,0.4,NA,NA,NA,NA,NA
Juwan Howard,82.8,7,6,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,2.6,1.9,0.9,0.7,0.1,0,-0.3
Antoine Carr,82.3,5.5,5.4,4.3,4,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.5,1.2,0.7,0.1,0,NA,NA,NA
Sam Mitchell,81.9,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.9,0.6,NA,NA,NA,NA,NA,NA
Matt Bonner,81.7,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8,0.8,NA,NA,NA,NA,NA,NA,NA
Glenn Robinson,80.9,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Nick Collison,80.7,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1,NA,NA,NA,NA,NA
Joe Smith,80.1,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3,2.8,2.7,2.6,2.3,0.9,-0.1,NA,NA,NA
