Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Michael Dickerson,,5.5,2.2,1.8,0.1,-0.1,NA,NA,NA,NA
Matt Maloney,84.8,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA
Don Carlson,84.1,5.8,2.8,2.6,0.2,NA,NA,NA,NA,NA
Gene Vance,83.3,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA
Buddy Hield,82.9,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA
Seth Curry,82.3,4.6,2.4,1.4,0,0,NA,NA,NA,NA
Terry Rozier,80.8,5.6,3.2,1.4,-0.3,NA,NA,NA,NA,NA
Butch van Breda Kolff,77.6,4.4,2.5,2.3,0.2,NA,NA,NA,NA,NA
Walt Kirk,75.2,5,2.3,0.4,NA,NA,NA,NA,NA,NA
Jason Hart,74.0,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3
Joe Harris,71.1,5.5,4,0.8,0.2,0,NA,NA,NA,NA
