Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Michael Dickerson,,5.5,2.2,1.8,0.1,-0.1
Matt Maloney,87.4,5.3,2.2,1.5,0.7,-0.3
Darrell Armstrong,86.4,6.4,2.5,1.8,0.1,0.1
Don Carlson,84.1,5.8,2.8,2.6,0.2,NA
Gene Vance,83.3,5.3,2.2,1.6,1.3,0
Buddy Hield,82.9,5.9,2.8,1.3,NA,NA
Seth Curry,82.3,4.6,2.4,1.4,0,0
Vincent Askew,81.2,6,2.9,2.7,0.2,-0.2
Terry Rozier,80.8,5.6,3.2,1.4,-0.3,NA
Keith Bogans,78.1,4.9,2.3,1.7,1.3,0.1
Butch van Breda Kolff,77.6,4.4,2.5,2.3,0.2,NA
