Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Shane Battier,,9.1,9,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,NA,NA,NA,NA,NA
Hot Rod Williams,91.4,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,NA,NA,NA,NA,NA
Don Nelson,90.6,8.8,8.7,8.3,7.5,7.4,6.1,5.9,5.8,5.4,3.3,2.6,2.3,2.1,0.4,NA,NA,NA,NA
Tom Chambers,88.9,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,NA,NA
Mark Aguirre,88.7,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,NA,NA,NA,NA,NA
David West,88.2,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.4,5.2,4.3,3.5,2.8,2.6,0.2,NA,NA,NA
Antawn Jamison,88.1,9.2,9,8.5,8.2,8.1,6.8,6.7,6.4,5.8,5.4,4.3,3.1,2.6,2.3,1.4,0.1,NA,NA
Andrei Kirilenko,88.0,11.6,9.2,7.9,7.3,7.1,6,6,5.5,4.6,4.5,4.4,1.3,0,NA,NA,NA,NA,NA
Clifford Robinson,87.5,9.6,8.7,8,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.4,4.3,4.2,2.8,2,1.7,0.3,0.3
David Lee,87.3,10.3,9.1,9,7.6,7.4,6.9,6,5.7,5,3.2,3,2.7,NA,NA,NA,NA,NA,NA
Zach Randolph,86.7,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.2,3.1,3,3,2.1,1.5,1.3,0.5,NA
