,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,23,MEM,NBA,SF,78,3097,,43%,55%,2%,,-5.2,+14.1,73,48,120,24,102,0,467,18,73
2002-03,24,MEM,NBA,SF,78,2383,,9%,89%,2%,,-2.0,+3.7,30,16,131,13,57,0,231,19,26
2003-04,25,MEM,NBA,SF,79,1947,,7%,87%,7%,,+4.7,+3.8,23,16,112,14,52,0,220,12,19
2004-05,26,MEM,NBA,SG,80,2516,,59%,39%,1%,,+6.8,+10.8,29,18,119,14,84,0,293,11,51
2005-06,27,MEM,NBA,SF,81,2839,,,63%,37%,,+7.1,+9.2,35,20,128,17,81,48,318,18,46
2006-07,28,HOU,NBA,SF,82,2988,,,77%,23%,,+6.6,+3.8,41,17,127,8,40,51,406,7,26
2007-08,29,HOU,NBA,SF,80,2907,,1%,79%,20%,,+6.8,+4.7,48,18,134,8,34,39,344,8,15
2008-09,30,HOU,NBA,SG,60,2031,,48%,48%,4%,,+6.6,+4.4,25,11,70,5,25,26,300,2,8
2009-10,31,HOU,NBA,SG,67,2168,,76%,25%,,,-0.2,+0.7,38,14,97,5,42,34,372,8,21
2010-11,32,TOT,NBA,SF,82,2375,,,89%,11%,,+3.7,+1.9,44,14,83,13,31,13,418,5,14
2010-11,32,HOU,NBA,SF,59,1818,,,91%,9%,,+2.7,+0.9,38,10,65,9,27,7,344,5,9
2010-11,32,MEM,NBA,SF,23,557,,,85%,15%,,+7.1,+5.4,6,4,18,4,4,6,74,0,5
2011-12,33,MIA,NBA,SF,65,1499,,32%,65%,3%,,+4.9,-3.4,29,2,51,2,6,18,182,1,12
2012-13,34,MIA,NBA,SF,72,1786,,,79%,21%,,+11.0,+3.4,23,6,96,3,10,9,169,1,10
2013-14,35,MIA,NBA,SF,73,1468,,3%,88%,9%,,+7.6,+3.6,15,4,83,1,7,5,156,1,6
Career,,,NBA,,977,30004,,21%,67%,11%,,+4.2,+5.3,453,204,1351,127,571,243,3876,111,327
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MEM,NBA,,419,13339,,24%,66%,10%,,+2.2,+8.7,196,122,628,86,380,54,1603,78,220
5 seasons,,HOU,NBA,,348,11912,,22%,65%,13%,,+4.8,+3.1,190,70,493,35,168,157,1766,30,79
3 seasons,,MIA,NBA,,210,4753,,11%,77%,12%,,+8.0,+1.3,67,12,230,6,23,32,507,3,28
