Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Amaechi,,2.4,0,-0.6,-0.7,-0.7,NA,NA,NA
George Johnson,-16.3,2.4,0.3,0.2,0.1,NA,NA,NA,NA
Sean Williams,-17.9,2.5,0.4,0.3,-0.2,NA,NA,NA,NA
Deyonta Davis,-27.5,2.7,0.5,0.4,NA,NA,NA,NA,NA
Ed Mikan,-32.0,2.7,0.8,0.8,0,-0.7,NA,NA,NA
Dave Hoppen,-32.2,2.6,0.8,0.2,0,0,-0.1,NA,NA
Evan Eschmeyer,-33.8,2.5,0.7,0.5,0.2,NA,NA,NA,NA
Irv Rothenberg,-34.3,2.3,1.6,-0.2,NA,NA,NA,NA,NA
Pete Cross,-37.1,2.6,1.8,-0.2,NA,NA,NA,NA,NA
Michael Stewart,-39.7,3,0.7,0.2,0.2,0.2,0.1,0.1,0.1
Will Frazier,-42.5,3.8,0.9,-0.1,NA,NA,NA,NA,NA
