Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
John Amaechi,,2.4,0,-0.6,-0.7,-0.7
George Johnson,-16.3,2.4,0.3,0.2,0.1,NA
Sean Williams,-17.9,2.5,0.4,0.3,-0.2,NA
Darrall Imhoff,-22.2,2.4,0.7,0.7,0,-0.6
Deyonta Davis,-27.5,2.7,0.5,0.4,NA,NA
Dave Hoppen,-27.8,2.6,0.8,0.2,0,-0.1
Jack Haley,-28.4,2.2,0.4,0.3,0.1,-0.3
Ed Mikan,-32.6,2.7,0.8,0.8,-0.7,NA
Evan Eschmeyer,-33.8,2.5,0.7,0.5,0.2,NA
Irv Rothenberg,-34.3,2.3,1.6,-0.2,NA,NA
Michael Stewart,-35.1,3,0.7,0.2,0.1,0.1
