,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2019-20,22,LAC,NBA,C,12,64,,,,15%,86%,+0.9,-5.7,1,1,8,0,2,0,5,1,4
Career,,,NBA,,12,64,,,,15%,86%,+0.9,-5.7,1,1,8,0,2,0,5,1,4
