Season,Team,Lg,Salary
1984-85,Los Angeles Lakers,NBA,"$325,000"
1985-86,Los Angeles Lakers,NBA,"$366,000"
1987-88,Los Angeles Lakers,NBA,"$676,500"
Career,(may be incomplete),,"$1,367,500"
