Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Anthony Randolph,,1.6,1.5,1.1,0.6,0.5,0.5
John Wallace,86.0,1.6,1.5,1,1,0.7,0.3
Rafael Addison,84.3,1.5,1.5,0.9,0.4,0.4,0.2
Thomas Robinson,79.2,1.6,1.5,0.9,0.6,-0.1,NA
Brian Scalabrine,78.6,1.7,1.4,1,0.9,0.3,-0.1
Michael Ruffin,77.8,1.9,1.7,1,0.6,0.2,0
Marc Iavaroni,77.1,1.7,1.5,1.4,1.1,1,0.7
Scott Hastings,76.0,2.1,1.3,1,0.8,0.4,0.1
Solomon Jones,74.2,1.9,1.6,0.8,0.5,0.3,0
Henry Walker,74.0,1.9,1.1,0.9,0.5,0.5,NA
Major Jones,73.9,1.3,1.3,1.2,0.9,0.7,0.1
