Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dick Garmaker,,7.5,4.7,4.6,4.4,3.1,1.3
Jay Humphries,94.4,7.6,4.9,4.8,4.5,3.5,1.9
Kyle Korver,91.6,6.6,4.6,4.6,4.2,3.7,1
Gene Littles,89.2,7.7,4.8,4.2,3.6,1.6,1.4
Kendall Gill,89.1,6.7,4.7,4.6,3.2,2.9,1.8
Kyle Lowry,89.0,7,4.9,4.3,3.6,3.4,0.5
Mike Woodson,88.6,7.8,5.7,4.2,4.2,4,0.9
John Lucas,87.6,7.9,5.9,5.2,4.8,3.9,1.3
Victor Oladipo,87.3,8.2,4.9,4,3.5,2.3,1.3
Sam Cassell,86.8,8.3,4.7,3.9,3.9,2.2,0.8
Vinnie Johnson,86.8,7.7,5.9,4.2,4.1,2.7,0.2
