Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23,IND,NBA,C,1,0,19:00,0,1,0,0,0,NA,2,4,0.5,3,6,0,0,0,1,0,2
Career,NA,,NBA,,1,0,19,0,1,0,0,0,NA,2,4,0.5,3,6,0,0,0,1,0,2
