Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Domantas Sabonis,,7.6,4.7,0.8,NA,NA,NA,NA
Pascal Siakam,81.7,9.3,4.7,1.6,NA,NA,NA,NA
Dario Šarić,80.1,6.6,3.5,1,NA,NA,NA,NA
Toby Knight,79.8,7.3,5.7,1.6,1.1,NA,NA,NA
Willie Murrell,79.6,7,4.6,3.1,NA,NA,NA,NA
Howie Dallmar,79.0,7,5.9,2.2,NA,NA,NA,NA
Bones McKinney,76.0,7.1,4.9,3.3,0.2,0,-0.2,NA
Travis Grant,69.3,5.6,4.1,1.5,0.5,NA,NA,NA
Stan McKenzie,67.8,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Gary Bradds,66.7,8,3.6,3.4,0.5,0.3,0,NA
Jerami Grant,66.5,7.3,5.4,2.9,2.1,0.5,NA,NA
