Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Mike Maloy,,1.3,-0.1,-0.3
Howie Jolliff,86.8,1.2,-0.2,-0.3
Art Long,81.6,1.4,-0.1,-0.3
Georges Niang,80.3,1.3,0,-0.3
LeRon Ellis,71.1,1.6,-0.1,-0.2
Damjan Rudež,58.9,1.3,0.1,0.1
Larry Demic,57.7,1.6,-0.1,-0.1
Jeffery Taylor,54.1,1.2,0.3,-0.2
John Rudometkin,52.0,1.6,-0.1,-0.5
Chris King,51.1,1.1,0,-0.1
Michael Young,51.1,1.1,0,0
