Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Trooper Washington,,8.3,6.9,6.3,6,3.4,2.2
Dave Greenwood,92.6,7.1,6.5,6.5,5.7,3.6,2
Orlando Woolridge,92.0,9,6.8,5.6,5.3,3.6,1.8
Michael Cage,91.1,7.2,6.8,6.7,6.7,3.2,1.7
Luis Scola,91.1,8.6,6.5,6.3,5.5,4.4,3.4
Josh Howard,90.2,8.8,8,6.7,6.4,3.5,3.2
Jerome Kersey,90.2,8.8,8.6,6.8,6.4,3.6,2.2
Thaddeus Young,89.9,7.4,6.3,6.2,5.5,4.5,2.1
Maurice Lucas,89.6,8.7,6.2,5.8,5.5,4.7,2.4
Curtis Rowe,89.6,8.3,6.2,6.1,5.2,5.2,2.3
Derrick McKey,88.9,7.4,6.6,6.4,6.3,4.1,3.9
