Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Trooper Washington,,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Khris Middleton,87.9,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Curtis Rowe,87.7,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
Josh Howard,86.5,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2
Chandler Parsons,85.7,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Gene Banks,85.5,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
John Beasley,85.3,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA
Kermit Washington,83.4,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Warren Davis,82.8,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
Tristan Thompson,82.5,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA
Fred Schaus,81.0,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
