Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,PTP,ABA,PF,63,1844,19.9,0.54,0.003,0.312,NA,NA,15.4,8,NA,NA,14,15.9,NA,3.7,2.4,6,0.157
1968-69,24,MNP,ABA,C,69,2625,16.9,0.528,0.007,0.377,NA,NA,14.7,9.5,NA,NA,16.3,15.8,NA,3.4,5,8.3,0.152
1969-70,25,TOT,ABA,PF,81,2353,16,0.581,0.014,0.412,NA,NA,15,10.9,NA,NA,20.5,13.4,NA,4.2,2.6,6.9,0.14
1969-70,25,PTP,ABA,PF,44,1249,15.8,0.57,0.016,0.458,NA,NA,15.1,11.9,NA,NA,21.9,13.7,NA,2.1,1.3,3.4,0.13
1969-70,25,LAS,ABA,PF,37,1104,16.2,0.594,0.011,0.361,NA,NA,15,9.9,NA,NA,18.7,13.1,NA,2.2,1.3,3.5,0.152
1970-71,26,FLO,ABA,PF,57,1876,11,0.535,0.005,0.392,NA,NA,15.1,12.7,NA,NA,29.4,14.1,NA,1.7,1.8,3.4,0.087
1971-72,27,NYA,ABA,PF,80,2510,14.1,0.587,0,0.245,11.2,17.6,14.5,8.5,NA,NA,20,14.6,NA,4.5,1.8,6.3,0.121
1972-73,28,NYA,ABA,PF,76,2027,10.3,0.555,0,0.238,9,18.4,13.9,13.8,NA,NA,28,13.2,NA,1.9,0.2,2.2,0.051
Career,NA,,ABA,,426,13235,14.8,0.554,0.005,0.332,10.2,18,14.8,10.5,NA,NA,20.6,14.5,NA,19.3,13.8,33.1,0.12
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"PTP,MNP",ABA,,176,5718,17.6,0.54,0.007,0.369,NA,NA,15,9.5,NA,NA,16.6,15.4,NA,9.1,8.6,17.7,0.149
2 seasons,NA,NYA,ABA,,156,4537,12.4,0.574,0,0.242,10.2,18,14.2,10.9,NA,NA,23.3,13.9,NA,6.4,2.1,8.5,0.09
1 season,NA,FLO,ABA,,57,1876,11,0.535,0.005,0.392,NA,NA,15.1,12.7,NA,NA,29.4,14.1,NA,1.7,1.8,3.4,0.087
1 season,NA,LAS,ABA,,37,1104,16.2,0.594,0.011,0.361,NA,NA,15,9.9,NA,NA,18.7,13.1,NA,2.2,1.3,3.5,0.152
