Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,PTP,ABA,PF,15,610,18.1,0.534,0.011,0.318,NA,NA,17.9,9.4,NA,NA,16,14.9,NA,0.9,0.7,1.5,0.12
1968-69,24,MNP,ABA,C,6,230,13,0.47,0,0.339,NA,NA,15.6,8.5,NA,NA,17.4,13.8,NA,0,0.4,0.4,0.093
1969-70,25,LAS,ABA,PF,17,471,14,0.606,0,0.269,NA,NA,16.5,11.6,NA,NA,21.2,10.2,NA,0.7,0.7,1.4,0.146
1970-71,26,FLO,ABA,PF,6,88,8.7,0.361,0,0.4,NA,NA,NA,19.5,NA,NA,14.5,NA,NA,-0.1,0.1,0,-0.016
1971-72,27,NYA,ABA,PF,18,548,14,0.604,0,0.224,NA,NA,15.8,10.2,NA,NA,18.1,10.6,NA,0.8,0.4,1.3,0.111
1972-73,28,NYA,ABA,PF,4,68,11.2,0.588,0,0.364,NA,NA,15.1,6.1,NA,NA,13.6,9.5,NA,0.1,-0.1,0,-0.004
Career,NA,,ABA,,66,2015,14.8,0.549,0.004,0.294,NA,NA,16.6,10.4,NA,NA,17.6,12.2,NA,2.4,2.2,4.6,0.11
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYA,ABA,,22,616,13.7,0.602,0,0.237,NA,NA,15.7,9.8,NA,NA,17.7,10.4,NA,0.9,0.3,1.3,0.098
2 seasons,NA,"PTP,MNP",ABA,,21,840,16.7,0.518,0.008,0.324,NA,NA,17.3,9.1,NA,NA,16.4,14.6,NA,0.9,1.1,2,0.112
1 season,NA,LAS,ABA,,17,471,14,0.606,0,0.269,NA,NA,16.5,11.6,NA,NA,21.2,10.2,NA,0.7,0.7,1.4,0.146
1 season,NA,FLO,ABA,,6,88,8.7,0.361,0,0.4,NA,NA,NA,19.5,NA,NA,14.5,NA,NA,-0.1,0.1,0,-0.016
