Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kevin Pritchard,,0.2,0.2,0.2,-0.2,NA
Anthony Roberson,58.9,0.2,0.2,0.1,NA,NA
Drew Barry,51.4,0.3,0.2,0.1,NA,NA
Randy Woods,46.6,0.3,0.2,0.1,0.1,NA
Lance Blanks,39.2,0.4,0.2,0.1,NA,NA
Jorge Gutiérrez,33.3,0.3,0.3,0.2,NA,NA
Rusty LaRue,30.6,0.3,0.3,0.1,-0.1,-0.1
Paul Long,29.6,0.5,0.3,0.2,-0.2,NA
Xavier Henry,24.2,0.3,0.2,0.2,0,-0.1
Elliot Williams,24.2,0.3,0.3,0.1,0,NA
Julyan Stone,23.1,0.4,0.3,0.2,0.1,NA
