Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kevin Pritchard,,0.2,0.2,0.2,-0.2
Anthony Roberson,58.9,0.2,0.2,0.1,NA
Drew Barry,51.4,0.3,0.2,0.1,NA
Randy Woods,46.6,0.3,0.2,0.1,0.1
Rusty LaRue,46.5,0.3,0.3,0.1,-0.1
Lance Blanks,39.2,0.4,0.2,0.1,NA
Rudy White,38.1,0.2,0.2,0.1,-0.3
Xavier Henry,34.4,0.3,0.2,0.2,0
Jorge Gutiérrez,33.3,0.3,0.3,0.2,NA
Paul Long,29.6,0.5,0.3,0.2,-0.2
Elliot Williams,24.2,0.3,0.3,0.1,0
