Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,22,CAP,NBA,SG,49,NA,556,7.6,17.5,0.433,4.3,5.9,0.726,2.1,3.6,5.7,4.2,2.5,0.2,NA,5,19.4,NA,NA,95
1974-75,23,NOJ,NBA,PG,72,NA,1898,7.1,15.7,0.452,4.4,5.8,0.768,1.7,2.8,4.5,4.1,1.5,0.1,NA,4.3,18.6,NA,NA,102
1975-76,24,NOJ,NBA,SG,66,NA,2030,7.2,16.7,0.433,3.7,5.1,0.735,1.8,2.7,4.5,3.7,1.8,0.1,NA,3.3,18.2,NA,NA,100
1976-77,25,SAS,NBA,SG,4,NA,57,5.3,10.5,0.5,3,5.3,0.571,1.5,3.8,5.3,2.3,1.5,0,NA,6.8,13.6,NA,NA,105
1977-78,26,TOT,NBA,SG,33,NA,406,9.1,22.6,0.403,6.1,9,0.679,1.4,4.2,5.6,3.6,2.4,0.7,5.1,3.5,24.3,NA,87,101
1977-78,26,KCK,NBA,SG,8,NA,53,2.5,11.7,0.214,7.5,9.2,0.818,0.8,1.7,2.5,4.2,1.7,0.8,6.7,4.2,12.6,NA,70,105
1977-78,26,NJN,NBA,SG,25,NA,353,10.1,24.1,0.416,5.9,8.9,0.658,1.5,4.5,6,3.6,2.5,0.7,4.9,3.4,26,NA,89,101
Career,NA,,NBA,,224,NA,4947,7.4,16.8,0.437,4.3,5.8,0.738,1.8,3,4.7,3.9,1.8,0.2,0.4,3.9,19,NA,87,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOJ,NBA,,138,NA,3928,7.2,16.2,0.442,4.1,5.4,0.752,1.8,2.7,4.5,3.9,1.7,0.1,NA,3.8,18.4,NA,NA,101
1 season,NA,CAP,NBA,,49,NA,556,7.6,17.5,0.433,4.3,5.9,0.726,2.1,3.6,5.7,4.2,2.5,0.2,NA,5,19.4,NA,NA,95
1 season,NA,NJN,NBA,,25,NA,353,10.1,24.1,0.416,5.9,8.9,0.658,1.5,4.5,6,3.6,2.5,0.7,4.9,3.4,26,NA,89,101
1 season,NA,KCK,NBA,,8,NA,53,2.5,11.7,0.214,7.5,9.2,0.818,0.8,1.7,2.5,4.2,1.7,0.8,6.7,4.2,12.6,NA,70,105
1 season,NA,SAS,NBA,,4,NA,57,5.3,10.5,0.5,3,5.3,0.571,1.5,3.8,5.3,2.3,1.5,0,NA,6.8,13.6,NA,NA,105
