Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Louie Nelson,,2.9,2.3,1.1,0,0
Tex Ritter,88.3,2.4,2.3,1,NA,NA
Rodney McGruder,88.0,2.9,1.9,0.8,NA,NA
Mike Butler,87.8,3.1,2.3,1.6,0.1,NA
Terry Furlow,86.5,3.3,2.8,1.1,0,NA
Billy Ray Bates,86.0,3.6,2.4,0.9,0,NA
Casey Jacobsen,85.2,2.7,2.6,1.2,-0.3,NA
Ron Sobie,83.1,3.6,2.6,0.9,0.1,NA
Norman Powell,82.2,2.8,2.4,1.6,0.6,NA
Ralph Johnson,82.1,2.9,1.6,0.8,0,NA
Yogi Ferrell,81.0,3,1.9,1.8,NA,NA
