Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Louie Nelson,,2.9,2.3,1.1,0,0
Tex Ritter,88.3,2.4,2.3,1,NA,NA
Rodney McGruder,88.0,2.9,1.9,0.8,NA,NA
Mike Butler,87.8,3.1,2.3,1.6,0.1,NA
Ricky Davis,87.6,3,2.8,1.1,0.2,0.2
Terry Furlow,86.5,3.3,2.8,1.1,0,NA
Billy Ray Bates,86.0,3.6,2.4,0.9,0,NA
Shammond Williams,85.4,3.1,2.9,1.2,0.2,0
Casey Jacobsen,85.2,2.7,2.6,1.2,-0.3,NA
Ennis Whatley,83.2,3.3,1.9,0.8,0,0
Ron Sobie,83.1,3.6,2.6,0.9,0.1,NA
