Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,22,CAP,NBA,SG,49,556,13.7,0.484,0.34,4.4,7.6,6,13.1,2.5,0.2,NA,NA,NA,0.3,0.8,1.1,0.091,NA,-1.8,1.3,-0.5,0.2
1974-75,23,NOJ,NBA,PG,72,1898,12.8,0.511,0.368,3.8,6.6,5.2,13.9,1.5,0.2,NA,NA,NA,1.5,0.8,2.3,0.059,NA,-1.4,-0.9,-2.2,-0.1
1975-76,24,NOJ,NBA,SG,66,2030,12.3,0.481,0.305,3.9,6,4.9,12.2,1.8,0.2,NA,NA,NA,1.3,1.6,2.9,0.069,NA,-1,-0.3,-1.4,0.3
1976-77,25,SAS,NBA,SG,4,57,8.4,0.527,0.5,3.7,8.9,6.3,6.4,1.5,0,NA,NA,NA,0,0,0,0.032,NA,-3.6,-0.3,-3.9,0
1977-78,26,TOT,NBA,SG,33,406,12.5,0.458,0.398,3,9.8,6.2,12.3,2.3,0.9,16.2,27,NA,-0.4,0.4,0,-0.001,NA,-1.9,-0.3,-2.2,-0.1
1977-78,26,KCK,NBA,SG,8,53,2.4,0.398,0.786,1.9,3.9,2.9,11.1,1.7,1,29.8,19.3,NA,-0.2,0,-0.1,-0.117,NA,-4.6,-0.5,-5.1,-0.1
1977-78,26,NJN,NBA,SG,25,353,14,0.463,0.371,3.1,10.7,6.7,12.5,2.5,0.9,14.9,28.1,NA,-0.3,0.4,0.1,0.016,NA,-1.5,-0.3,-1.8,0
Career,NA,,NBA,,224,4947,12.6,0.49,0.344,3.9,6.8,5.3,12.9,1.8,0.2,16.2,27,NA,2.7,3.6,6.4,0.062,NA,-1.3,-0.4,-1.7,0.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOJ,NBA,,138,3928,12.6,0.495,0.335,3.9,6.3,5.1,13,1.7,0.2,NA,NA,NA,2.8,2.5,5.3,0.064,NA,-1.2,-0.6,-1.8,0.2
1 season,NA,CAP,NBA,,49,556,13.7,0.484,0.34,4.4,7.6,6,13.1,2.5,0.2,NA,NA,NA,0.3,0.8,1.1,0.091,NA,-1.8,1.3,-0.5,0.2
1 season,NA,NJN,NBA,,25,353,14,0.463,0.371,3.1,10.7,6.7,12.5,2.5,0.9,14.9,28.1,NA,-0.3,0.4,0.1,0.016,NA,-1.5,-0.3,-1.8,0
1 season,NA,KCK,NBA,,8,53,2.4,0.398,0.786,1.9,3.9,2.9,11.1,1.7,1,29.8,19.3,NA,-0.2,0,-0.1,-0.117,NA,-4.6,-0.5,-5.1,-0.1
1 season,NA,SAS,NBA,,4,57,8.4,0.527,0.5,3.7,8.9,6.3,6.4,1.5,0,NA,NA,NA,0,0,0,0.032,NA,-3.6,-0.3,-3.9,0
