,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,DET,NBA,SF,44,405,,53%,45%,2%,,-13.7,-8.8,6,6,24,2,17,1,37,2,11
2010-11,23,DET,NBA,SF,22,199,3%,27%,65%,4%,,-4.7,-0.9,2,6,10,1,6,0,4,0,6
2011-12,24,NOH,NBA,SF,15,209,,13%,87%,,,-8.2,-4.3,1,2,16,3,5,0,23,1,4
2012-13,25,LAC,NBA,PF,2,7,,,,100%,,0.0,-7.0,0,0,0,0,0,0,2,0,0
Career,,,NBA,,83,820,1%,36%,60%,3%,,-10.0,-5.7,9,14,50,6,28,1,66,3,21
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,66,604,1%,44%,51%,3%,,-10.8,-6.2,8,12,34,3,23,1,41,2,17
1 season,,NOH,NBA,,15,209,,13%,87%,,,-8.2,-4.3,1,2,16,3,5,0,23,1,4
1 season,,LAC,NBA,,2,7,,,,100%,,0.0,-7.0,0,0,0,0,0,0,2,0,0
