Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Brisker,,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA
Reggie King,87.9,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Art Heyman,85.4,8.5,6.1,2.7,1.3,0.6,0,NA,NA
Joe Ingles,84.0,7.6,6,5,2.3,2.2,NA,NA,NA
Jerami Grant,81.8,7.3,5.4,2.9,2.1,0.5,NA,NA,NA
Dwight Powell,79.2,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Greg Smith,79.2,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Marvin Barnes,79.0,8.6,7.6,2,1.3,1,0.1,NA,NA
Les Hunter,78.2,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA
Bill Robinzine,75.9,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA
Julius Randle,75.7,6.6,6.1,3.5,1.6,-0.1,NA,NA,NA
