Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Brisker,,8.2,6.3,3.1,2.3,1.7,0.5
Matt Harpring,89.5,8.8,6.1,2.8,2.6,2.6,0.2
Metta World Peace,89.1,8,7.2,2.7,2.3,1.9,1.3
Jeff Foster,88.7,8.3,5.4,4.2,2.7,1.6,0.6
Joe Caldwell,88.0,7.9,6.7,3.7,3.3,2,0.3
Reggie King,87.9,8.3,6.2,4.8,3.4,1.6,0.5
Bo Outlaw,86.2,7.6,6.1,2.5,2.3,2.3,1.8
Lamar Odom,86.0,8.4,6.5,4.7,3.2,2.2,0.7
Art Heyman,85.4,8.5,6.1,2.7,1.3,0.6,0
Jim Brewer,85.0,7.9,5.8,4.4,2.6,1.3,1.3
Joe Ingles,84.0,7.6,6,5,2.3,2.2,NA
