,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,PTP,ABA,,16,,4,,,,14,15,,,,,,,,,45
1970-71,23,PTC,ABA,,21,,6,,,,14,17,,,,,,,,,53
1971-72,24,PTC,ABA,,24,,4,,,,12,13,,,,,,,,,52
1972-73,25,SEA,NBA,,16,,,,,,12,15,,,,,,,,,39
1973-74,26,SEA,NBA,,16,,,,,,15,18,,,,,,,,,47
1974-75,27,SEA,NBA,,11,,,,,,6,10,,,,,,,,,28
Career,,,TOT,,24,,,,,,15,18,,,,,,,,,53
,,,NBA,,16,,,,,,15,18,,,,,,,,,47
,,,ABA,,24,,6,,,,14,17,,,,,,,,,53
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"PTC,PTP",ABA,,24,,6,,,,14,17,,,,,,,,,53
3 Seasons,,SEA,NBA,,16,,,,,,15,18,,,,,,,,,47
