Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Gene Moore,,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Cody Zeller,83.6,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA,NA
Neal Walk,81.9,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Tim McCormick,81.5,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA,NA,NA
Gorgui Dieng,81.3,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA,NA
Jack Nichols,80.4,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA,NA
Darrall Imhoff,79.6,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Ralph Sampson,78.9,6.2,6,5,2.2,1.1,0.6,-0.2,-0.3,-0.6,NA,NA,NA
George Ratkovicz,78.7,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA,NA,NA
Nenad Krstić,78.5,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA,NA,NA
Scot Pollard,77.8,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1,0.9,0.6,0.2,NA
