Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Gene Moore,,6.8,5.7,5,4.5,1.9,0.8,0
Ervin Johnson,86.4,6.4,5.2,4.9,3.9,3,1.3,0.7
Rasho Nesterović,85.7,7.2,5.2,4.2,4.1,3,1.5,0
Darryl Dawkins,85.6,6.4,6.3,5.7,4.6,2.9,2.1,0.1
Jack Nichols,85.3,6.7,4.4,4.3,4.1,1.6,0.3,NA
Kendrick Perkins,84.3,6.2,5.6,5.2,2.3,1.4,0.7,0.1
Cody Zeller,83.6,6.3,5.6,3.9,3.8,2.6,1.9,NA
Rick Mahorn,83.4,6.2,5.9,4.8,3.6,2.5,1.8,1.3
Neal Walk,82.4,7.1,6.8,6.1,5.1,2.1,1.7,1.2
Tim McCormick,82.0,6,4.6,3.9,3.8,2,1.1,-0.1
Sam Lacey,81.8,7.7,7.4,5.6,5,2.7,1.2,0.3
