,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,KEN,ABA,,12,,0,,,,12,15,,,,,,,,,26
1969-70,24,KEN,ABA,,12,,0,,,,9,10,,,,,,,,,28
1970-71,25,TEX,ABA,,9,,0,,,,10,10,,,,,,,,,28
1971-72,26,TOT,ABA,,5,,0,,,,4,5,,,,,,,,,14
1971-72,26,NYA,ABA,,5,,0,,,,4,5,,,,,,,,,14
1972-73,27,SDA,ABA,,6,,0,,,,4,6,,,,,,,,,14
1974-75,29,SSL,ABA,,1,,0,,,,0,0,,,,,,,,,2
Career,,,,,12,,0,,,,12,15,,,,,,,,,28
2 Seasons,,KEN,ABA,,12,,0,,,,12,15,,,,,,,,,28
1 Season,,NYA,ABA,,5,,0,,,,4,5,,,,,,,,,14
1 Season,,TEX,ABA,,9,,0,,,,10,10,,,,,,,,,28
1 Season,,SDA,ABA,,6,,0,,,,4,6,,,,,,,,,14
1 Season,,SSL,ABA,,1,,0,,,,0,0,,,,,,,,,2
