Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Allan Bristow,,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2
Fred Roberts,91.3,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.2
Ollie Johnson,90.8,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2
Jason Thompson,90.2,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA,NA
Trevor Booker,89.4,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA,NA
Vladimir Radmanović,89.4,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,0.8,0
Pat Cummings,88.8,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6
Nate Williams,88.7,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4,NA,NA
Shandon Anderson,87.9,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4
John Tresvant,87.2,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,NA
Jonas Jerebko,87.0,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA
