,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,33,NYK,NBA,SF,75,2212,,1%,80%,19%,,+5.1,+4.4,40,27,70,20,62,0,203,10,36
2001-02,34,HOU,NBA,SF,20,606,,4%,93%,3%,,-2.4,+3.8,10,5,16,4,12,0,64,5,8
2002-03,35,HOU,NBA,SF,62,1532,,4%,93%,3%,,-0.7,-3.8,33,15,48,6,27,0,141,8,12
2003-04,36,LAC,NBA,SF,18,262,,,61%,39%,,+3.3,+8.9,7,4,13,1,6,0,53,0,2
Career,,,NBA,,175,4612,,2%,85%,13%,,+2.1,+1.8,90,51,147,31,107,0,461,23,58
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,82,2138,,4%,93%,3%,,-1.2,-1.6,43,20,64,10,39,0,205,13,20
1 season,,NYK,NBA,,75,2212,,1%,80%,19%,,+5.1,+4.4,40,27,70,20,62,0,203,10,36
1 season,,LAC,NBA,,18,262,,,61%,39%,,+3.3,+8.9,7,4,13,1,6,0,53,0,2
