Season,Team,Lg,Salary
1989-90,Miami Heat,NBA,"$1,600,000"
1990-91,Miami Heat,NBA,"$1,550,000"
1991-92,Miami Heat,NBA,"$1,302,000"
1992-93,Miami Heat,NBA,"$1,552,000"
1993-94,Miami Heat,NBA,"$2,002,000"
1994-95,Miami Heat,NBA,"$2,600,000"
1995-96,Charlotte Hornets,NBA,"$3,302,000"
1996-97,Charlotte Hornets,NBA,"$4,002,000"
1997-98,Charlotte Hornets,NBA,"$4,702,000"
1998-99,Los Angeles Lakers,NBA,"$5,248,000"
1999-00,Los Angeles Lakers,NBA,"$7,000,000"
2000-01,New York Knicks,NBA,"$7,578,900"
2001-02,Houston Rockets,NBA,"$8,800,000"
2002-03,Houston Rockets,NBA,"$9,200,000"
2003-04,Utah Jazz,NBA,"$6,815,000"
2003-04,Los Angeles Clippers,NBA,"$1,070,000"
Career,(may be incomplete),,"$68,323,900"
