,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1999-00,21,DEPAUL,32,878,149,281,5,16,56,89,,149,59,50,18,71,77,359,.530,.313,.629,27.4,11.2,4.7,1.8
Career,,,32,878,149,281,5,16,56,89,,149,59,50,18,71,77,359,.530,.313,.629,27.4,11.2,4.7,1.8
