,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2009-10,21,OKC,NBA,SF,6,231,.350,14.5,.715,.228,.089,.187,.211,.285,.375,.464,.364,.304,.346,.286,.576,.057,6,.600,.029,.000,1,0
2010-11,22,OKC,NBA,SF,17,722,.449,15.5,.684,.180,.125,.165,.214,.316,.500,.758,.419,.421,.392,.339,.542,.081,26,.811,.083,.333,0,0
2011-12,23,OKC,NBA,SF,20,837,.517,13.5,.713,.230,.167,.183,.133,.287,.575,.670,.453,.557,.588,.373,.420,.076,25,.756,.082,.556,0,0
2012-13,24,OKC,NBA,SF,11,485,.455,14.9,.715,.146,.179,.211,.179,.285,.511,.750,.432,.500,.409,.314,.233,.053,13,.455,.086,.333,2,0
2013-14,25,OKC,NBA,SF,19,815,.460,14.5,.704,.168,.168,.227,.140,.296,.508,.718,.465,.375,.525,.344,.530,.045,17,.837,.080,.500,1,0
2015-16,27,OKC,NBA,SF,18,726,.430,14.3,.730,.184,.128,.238,.179,.270,.485,.640,.423,.392,.493,.282,.486,.052,18,.742,.064,.429,1,0
2016-17,28,GSW,NBA,PF,15,533,.556,14.1,.679,.265,.104,.179,.131,.321,.610,.732,.500,.479,.629,.442,.541,.093,25,.632,.105,.444,1,0
2017-18,29,GSW,NBA,SF,21,807,.487,15.9,.683,.126,.094,.264,.198,.317,.556,.727,.537,.496,.535,.341,.412,.048,21,.511,.043,.500,0,0
2018-19,30,GSW,NBA,SF,12,442,.514,16.6,.671,.144,.074,.247,.206,.329,.552,.886,.333,.450,.520,.438,.556,.091,22,.657,.088,.571,0,0
Career,,,NBA,,139,5598,.475,14.9,.700,.181,.130,.215,.173,.300,.527,.706,.449,.448,.496,.352,.470,.064,173,.681,.074,.453,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,OKC,NBA,,91,3816,.455,14.5,.710,.187,.148,.205,.170,.290,.507,.681,.439,.430,.468,.329,.462,.061,105,.739,.075,.429,5,0
3 seasons,,GSW,NBA,,48,1782,.514,15.6,.679,.170,.092,.236,.181,.321,.570,.764,.483,.480,.550,.395,.486,.072,68,.592,.072,.500,1,0
