Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,OKC,NBA,SF,1,0,20:17,7,14,0.5,1,3,0.333,0,0,NA,1,5,0,0,0,2,0,15
2010-11,22,OKC,NBA,SF,1,1,30:00,11,23,0.478,4,11,0.364,8,8,1,0,3,2,2,2,0,3,34
2011-12,23,OKC,NBA,SF,1,1,37:23,14,25,0.56,3,8,0.375,5,7,0.714,3,7,3,3,0,2,0,36
2012-13,24,OKC,NBA,SF,1,1,31:22,13,24,0.542,3,8,0.375,1,1,1,0,6,1,2,0,0,3,30
2013-14,25,OKC,NBA,SF,1,1,34:43,14,27,0.519,6,17,0.353,4,4,1,3,10,6,1,0,1,0,38
2014-15,26,OKC,NBA,SF,1,0,9:55,1,6,0.167,1,6,0.167,0,0,NA,0,3,1,1,0,2,0,3
2015-16,27,OKC,NBA,SF,1,1,22:55,11,18,0.611,1,8,0.125,0,0,NA,2,5,7,2,0,0,0,23
2016-17,28,GSW,NBA,PF,1,1,27:09,9,16,0.563,2,8,0.25,1,2,0.5,4,10,10,2,0,0,1,21
2017-18,29,GSW,NBA,SF,1,1,29:57,7,13,0.538,3,8,0.375,2,2,1,1,6,5,3,1,2,3,19
2018-19,30,GSW,NBA,SF,1,1,25:26,10,15,0.667,6,9,0.667,5,5,1,0,7,2,1,2,2,1,31
Career,NA,,NBA,,10,8,269,97,181,0.536,30,86,0.349,26,29,0.897,14,62,37,17,5,11,11,250
