Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Nate Williams,,4.5,4.3,4,2.9,2.8,2.5,1.9,0.4
Allan Bristow,93.1,4.4,4.3,3.5,2.8,2.7,1.9,1.9,0.5
Ron Anderson,92.2,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Chris Gatling,90.9,4.6,4.5,3.9,3.9,3.1,2.4,2,-0.1
Vladimir Radmanović,89.3,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8
Ollie Johnson,88.7,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2
Alvin Scott,88.7,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8
Danny Fortson,88.1,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2
Malik Rose,87.9,5.2,4.4,3.8,3.4,3.3,2.6,1.1,0.4
Shandon Anderson,87.8,4.9,4.2,3.9,2.7,2,1.7,1.2,0.4
Phil Jackson,87.8,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.5
