Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,23,KCO,NBA,SF,82,NA,2513,9.7,21,0.462,3.5,4.2,0.818,2.1,4.1,6.2,3.3,2.7,0.6,NA,5.2,22.8,NA,NA,99
1974-75,24,TOT,NBA,SG,85,NA,1945,11,22.9,0.48,4.2,5.1,0.823,2.4,5.4,7.8,3.4,2.2,0.7,NA,5.8,26.2,NA,NA,97
1974-75,24,KCO,NBA,SG,50,NA,1131,10.8,23.7,0.454,3.9,4.8,0.822,2.4,4.9,7.3,3.2,2.2,1,NA,6.2,25.5,NA,NA,97
1974-75,24,NOJ,NBA,SG,35,NA,814,11.3,21.8,0.517,4.5,5.5,0.824,2.4,6.1,8.5,3.6,2.4,0.3,NA,5.3,27.1,NA,NA,98
1975-76,25,NOJ,NBA,SF,81,NA,1935,9.8,22,0.444,4.6,5.6,0.824,3.1,5.2,8.4,2.5,2.5,0.4,NA,5.9,24.2,NA,NA,97
1976-77,26,NOJ,NBA,SF,79,NA,1776,10.4,23.1,0.451,3.7,4.9,0.753,2.7,5,7.7,2.3,1.9,0.4,NA,5,24.6,NA,NA,100
1977-78,27,TOT,NBA,SG,73,NA,1249,11.2,26.1,0.431,3.6,4.4,0.835,2.3,5,7.3,2.7,2.1,1.2,3,6.5,26.1,NA,95,100
1977-78,27,NOJ,NBA,SG,27,NA,434,9.2,21.9,0.421,3.2,3.8,0.838,2.8,6.4,9.2,3.5,2.1,1.2,2.6,6.2,21.5,NA,97,99
1977-78,27,GSW,NBA,SG,46,NA,815,12.3,28.3,0.435,3.9,4.7,0.833,2.1,4.2,6.3,2.2,2,1.2,3.2,6.7,28.6,NA,94,100
1978-79,28,GSW,NBA,SG,81,NA,1299,10.3,20.5,0.501,3.7,4.2,0.872,2.5,5,7.5,2.2,2,0.2,3.4,6.1,24.2,NA,104,103
Career,NA,,NBA,,481,NA,10717,10.3,22.4,0.46,3.9,4.8,0.816,2.5,4.9,7.4,2.8,2.3,0.6,0.7,5.7,24.5,NA,99,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NOJ,NBA,,222,NA,4959,10.2,22.4,0.457,4.1,5.2,0.801,2.8,5.4,8.2,2.7,2.3,0.5,0.2,5.5,24.6,NA,97,98
2 seasons,NA,KCO,NBA,,132,NA,3644,10,21.8,0.459,3.6,4.4,0.819,2.2,4.3,6.5,3.2,2.5,0.7,NA,5.5,23.7,NA,NA,99
2 seasons,NA,GSW,NBA,,127,NA,2114,11.1,23.6,0.47,3.8,4.4,0.856,2.3,4.7,7,2.2,2,0.6,3.3,6.3,25.9,NA,99,102
