Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,21,CIN,NBA,SG,81,2173,11.2,0.461,0.178,NA,NA,8.5,11.8,NA,NA,NA,NA,NA,-0.2,0.7,0.4,0.009,NA,NA,NA,NA,NA
1972-73,22,KCO,NBA,SG,80,1979,12.9,0.504,0.152,NA,NA,8.9,9.2,NA,NA,NA,NA,NA,2.3,0.1,2.5,0.06,NA,NA,NA,NA,NA
1973-74,23,KCO,NBA,SF,82,2513,15.5,0.5,0.203,4.9,9.4,7.2,11.3,2.7,0.7,NA,NA,NA,1.9,2.1,4,0.077,NA,-0.6,0.2,-0.4,1
1974-75,24,TOT,NBA,SG,85,1945,17.5,0.52,0.223,5.3,12.5,8.8,12.7,2.2,0.8,NA,NA,NA,2.4,2.1,4.5,0.112,NA,0.7,0.1,0.8,1.4
1974-75,24,KCO,NBA,SG,50,1131,16.1,0.493,0.202,5.3,11.1,8.2,11.7,2.2,1.1,NA,NA,NA,0.8,1.3,2.1,0.087,NA,-0.2,-0.1,-0.3,0.5
1974-75,24,NOJ,NBA,SG,35,814,19.5,0.559,0.252,5.2,14.5,9.7,14.2,2.4,0.4,NA,NA,NA,1.7,0.8,2.5,0.146,NA,2,0.4,2.4,0.9
1975-76,25,NOJ,NBA,SF,81,1935,15.9,0.493,0.252,6.9,11.7,9.3,8.8,2.5,0.5,NA,NA,NA,1.8,2.4,4.3,0.106,NA,-0.3,0.1,-0.1,0.9
1976-77,26,NOJ,NBA,SF,79,1776,14.7,0.486,0.212,5.9,10.7,8.3,8.1,1.9,0.5,NA,NA,NA,1,1.8,2.8,0.077,NA,-0.9,-0.6,-1.4,0.3
1977-78,27,TOT,NBA,SG,73,1249,14.8,0.466,0.167,5.1,11.1,8.1,9,2.1,1.4,9.6,26.7,NA,0.4,1.5,1.9,0.073,NA,-1.3,-0.2,-1.6,0.1
1977-78,27,NOJ,NBA,SG,27,434,14.4,0.458,0.173,6.1,13.7,10,11.3,2.1,1.4,9.8,22.3,NA,0.3,0.5,0.8,0.091,NA,-1.2,0.7,-0.5,0.2
1977-78,27,GSW,NBA,SG,46,815,15,0.47,0.165,4.6,9.7,7.1,7.8,2,1.4,9.6,29.1,NA,0.1,0.9,1.1,0.063,NA,-1.4,-0.8,-2.1,0
1978-79,28,GSW,NBA,SG,81,1299,14.7,0.542,0.206,5.6,11.6,8.6,6.7,2,0.2,13.1,22.2,NA,1.4,1.5,2.9,0.107,NA,-0.9,-0.1,-1,0.3
Career,NA,,NBA,,642,14869,14.6,0.495,0.2,5.6,11.1,8.4,10,2.3,0.7,11.2,24.4,NA,11.1,12.2,23.3,0.075,NA,-0.5,-0.1,-0.5,4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"CIN,KCO",NBA,,293,7796,13.8,0.489,0.184,5,9.9,8.1,11,2.5,0.8,NA,NA,NA,4.8,4.2,9,0.055,NA,-0.5,0.1,-0.4,1.5
4 seasons,NA,NOJ,NBA,,222,4959,15.9,0.498,0.23,6.2,12,9.1,9.7,2.3,0.5,9.8,22.3,NA,4.8,5.6,10.4,0.101,NA,-0.2,0,-0.2,2.3
2 seasons,NA,GSW,NBA,,127,2114,14.8,0.508,0.187,5.2,10.8,8,7.1,2,0.7,11.5,24.8,NA,1.5,2.4,4,0.09,NA,-1.1,-0.4,-1.5,0.3
