Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
George Johnson,,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA
Danny Vranes,89.5,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
Toby Kimball,88.7,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA
Walter McCarty,87.8,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2
Luke Walton,86.4,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4
T.J. Warren,86.0,4.1,3.4,2.2,2.1,1.1,NA,NA,NA,NA,NA
Derrick Williams,85.2,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA
Jason Caffey,84.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA
Lawrence Funderburke,84.5,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA
Nick Weatherspoon,83.9,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA,NA
Don Ford,83.8,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA
