Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Johnson,,3.8,3.2,2.5,2.2,1,0.7,0.6,0
Duane Ferrell,89.8,3.5,3.2,2.8,1.9,1.2,1,0.4,-0.1
Danny Vranes,89.5,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Toby Kimball,88.8,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2
Luke Walton,86.7,3.8,3.2,2,2,1.6,0.5,0.3,-0.2
T.J. Warren,86.0,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Mike Sanders,85.4,3.9,3.1,2.7,1.2,1,0.8,0.8,0.6
Scott Williams,85.4,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3
Derrick Williams,85.2,3.6,3,2.6,2.1,1.8,1.1,0,NA
Jason Caffey,84.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Lawrence Funderburke,84.5,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
