Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Billy Cunningham,,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2
Cliff Hagan,94.0,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,1.3
Shawn Kemp,92.6,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1
Ben Wallace,91.5,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,3.6,2.9,-0.2
Glen Rice,91.4,10.8,10.2,10,9.3,9,8.3,7.9,6.3,4.4,2.2,1.4
Detlef Schrempf,91.4,12.9,10.4,9.8,9,8.4,8.2,8.1,4.4,4,3.6,0.8
Rasheed Wallace,91.1,11,9.7,9.3,8.9,8.5,7.6,7.1,6.4,6.2,5,2.3
Alex English,90.9,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7,5.3,4,1.2
Vern Mikkelsen,90.9,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA
Carlos Boozer,90.8,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,2.6
Dennis Rodman,90.8,12.6,9.3,8.7,8.7,8.1,6.8,6.2,6,5.8,5.5,2.9
