,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,22,PHI,NBA,,2,9,,,,,5,6,,,7,4,,,,4,9
1966-67,23,PHI,NBA,,13,24,,,,,11,13,,,10,4,,,,6,28
1967-68,24,PHI,NBA,,11,19,,,,,9,10,,,12,5,,,,6,24
1968-69,25,PHI,NBA,,13,26,,,,,7,12,,,17,6,,,,6,33
1969-70,26,PHI,NBA,,22,,,,,,10,10,,,,,,,,,50
1970-71,27,PHI,NBA,,14,27,,,,,12,18,,,20,10,,,,5,33
1972-73,29,CAR,ABA,,13,,1,,,,11,13,,,,,,,,,32
1973-74,30,CAR,ABA,,5,,0,,,,4,5,,,,,,,,,10
Career,,,TOT,,22,,,,,,12,18,,,,,,,,,50
,,,NBA,,22,,,,,,12,18,,,,,,,,,50
,,,ABA,,13,,1,,,,11,13,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,
6 Seasons,,PHI,NBA,,22,,,,,,12,18,,,,,,,,,50
2 Seasons,,CAR,ABA,,13,,1,,,,11,13,,,,,,,,,32
