Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Billy Cunningham,,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA,NA
Cliff Hagan,91.8,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,3,1.3,0.1,NA
Vern Mikkelsen,90.9,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA,NA,NA,NA
Harry Gallatin,90.8,11.8,11.3,8.9,8.3,8.1,7.8,7.6,6.1,5.6,2.8,NA,NA,NA,NA
Kevin Love,90.6,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1,NA,NA,NA
James Worthy,90.4,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1,NA,NA
Cedric Maxwell,90.1,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2,NA,NA,NA
Lou Hudson,89.8,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,NA
Shawn Kemp,89.7,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1,2,1.9,0.9
George McGinnis,88.9,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,NA,NA,NA
Jack Twyman,88.9,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA,NA,NA
