,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,22,PHI,NBA,,12,20,,,,,11,15,,,16,,,,,6,31
1966-67,23,PHI,NBA,,16,,,,,,12,20,,,,,,,,,39
1967-68,24,PHI,NBA,,14,30,,,,,13,18,,,17,8,,,,6,38
1968-69,25,PHI,NBA,,17,,,,,,15,20,,,,,,,,,44
1969-70,26,PHI,NBA,,18,31,,,,,16,22,,,23,9,,,,6,46
1970-71,27,PHI,NBA,,17,,,,,,17,19,,,,,,,,,38
1971-72,28,PHI,NBA,,19,,,,,,14,22,,,,,,,,,47
1972-73,29,CAR,ABA,,17,,2,,,,14,17,,,,,,,,,42
1973-74,30,CAR,ABA,,12,,1,,,,12,15,,,,,,,,,32
1974-75,31,PHI,NBA,,16,,,,,,13,14,,,,,,,,,38
1975-76,32,PHI,NBA,,8,,,,,,10,12,,,,,,,,,26
Career,,,TOT,,19,,,,,,17,22,,,,,,,,,47
,,,NBA,,19,,,,,,17,22,,,,,,,,,47
,,,ABA,,17,,2,,,,14,17,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,
9 Seasons,,PHI,NBA,,19,,,,,,17,22,,,,,,,,,47
2 Seasons,,CAR,ABA,,17,,2,,,,14,17,,,,,,,,,42
