Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dwight Jones,,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6
Wilson Chandler,92.1,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,0.5,-0.1
Ollie Johnson,89.8,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2
Trevor Booker,89.6,4.3,4.3,3.6,3.1,3,2.9,2.6,2.3,NA,NA
John Tresvant,88.1,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,NA
Tom McMillen,88.0,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,0.8
Jason Thompson,87.3,4,3.9,3.6,2.9,2.7,2.7,2.4,1.6,NA,NA
Fred Roberts,86.3,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.2
Vladimir Radmanović,85.8,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,0.8,0
Jonas Jerebko,85.3,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA
Cliff Robinson,85.3,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3
