Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Carl Landry,,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4
Ed Pinckney,95.1,7.5,6.2,6.1,4.7,4,2.9,2.7,2.3,0.3
Amir Johnson,91.2,7.3,6.3,5.6,4.5,4,3,2.7,0.5,0.2
Jamal Mashburn,90.3,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Metta World Peace,89.0,8,7.2,6.7,4.7,3.7,2.7,2.3,1.9,1.3
Matt Harpring,88.9,8.8,6.1,5.5,4.7,4.7,2.8,2.6,2.6,0.2
Donyell Marshall,88.1,8.5,6,5,4.2,3.8,3,1.3,1.3,0.3
Rodney Rogers,87.8,7.4,5.4,4.7,3.9,3.3,2.9,2.3,2,1.2
Antoine Walker,87.7,6.7,6.6,5,4.7,3.9,2.6,2.6,1.7,0.9
Jeff Foster,87.6,8.3,6.5,5.7,5.4,4.5,4.2,2.7,1.6,0.6
Drew Gooden,87.5,8.5,6.6,6.5,4.4,3.3,2.7,1.9,1.8,1.7
