Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Carl Landry,,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA,NA
Kenny Carr,88.7,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA
Ruben Patterson,87.1,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2,0.1,NA,NA
Wil Jones,86.3,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA,NA
Ed Pinckney,85.7,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Kenneth Faried,85.6,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA,NA
M.L. Carr,85.5,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA,NA
Joe Caldwell,85.4,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA
Larry Siegfried,85.1,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA,NA
Gus Johnson,84.6,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA,NA
Lonnie Shelton,84.3,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA,NA
