,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2007-08,24,HOU,NBA,PF,42,711,,,,24%,76%,+7.6,+2.5,4,15,48,3,55,7,50,19,25
2008-09,25,HOU,NBA,PF,69,1467,,,,68%,32%,+1.6,-4.4,15,21,74,19,92,11,97,23,42
2009-10,26,TOT,NBA,PF,80,2469,,,,69%,30%,-2.7,-0.2,25,37,97,42,199,10,161,49,113
2009-10,26,HOU,NBA,PF,52,1415,,,,54%,46%,+0.8,+2.0,15,23,60,29,130,7,97,34,76
2009-10,26,SAC,NBA,PF,28,1054,,,1%,90%,10%,-7.4,-3.8,10,14,37,13,69,3,64,15,37
2010-11,27,TOT,NBA,PF,76,2008,,,4%,96%,,-4.6,-2.6,20,38,81,30,134,7,151,36,54
2010-11,27,SAC,NBA,PF,53,1406,,,5%,95%,,-6.8,-1.4,12,31,49,21,102,4,118,27,39
2010-11,27,NOH,NBA,PF,23,602,,,1%,99%,1%,+0.8,0.0,8,7,32,9,32,3,33,9,15
2011-12,28,NOH,NBA,PF,41,999,,,1%,94%,5%,-4.5,-0.4,9,18,24,18,93,1,88,26,40
2012-13,29,GSW,NBA,PF,81,1876,,,,30%,70%,-2.0,-5.7,19,45,71,28,141,10,152,39,58
2013-14,30,SAC,NBA,PF,18,233,,,,41%,59%,-13.5,-11.0,2,2,17,3,9,2,11,5,4
2014-15,31,SAC,NBA,PF,70,1192,,,,68%,32%,-8.7,-6.9,6,23,50,16,71,6,58,11,42
2015-16,32,PHI,NBA,PF,36,569,,,,52%,48%,-10.3,+0.4,3,11,32,4,36,2,81,7,16
Career,,,NBA,,513,11524,,,1%,65%,34%,-3.1,-2.8,103,210,494,163,830,56,849,215,394
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,169,3885,,,2%,82%,16%,-7.9,-4.4,30,70,153,53,251,15,251,58,122
3 seasons,,HOU,NBA,,163,3593,,,,54%,46%,+2.5,-0.5,34,59,182,51,277,25,244,76,143
1 season,,GSW,NBA,,81,1876,,,,30%,70%,-2.0,-5.7,19,45,71,28,141,10,152,39,58
2 seasons,,NOH,NBA,,64,1601,,,1%,96%,3%,-2.5,-0.2,17,25,56,27,125,4,121,35,55
1 season,,PHI,NBA,,36,569,,,,52%,48%,-10.3,+0.4,3,11,32,4,36,2,81,7,16
