Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
William Bedford,,1.3,0.3,0.2,-0.1,-0.1,-0.8
Granville Waiters,35.1,1.3,0.5,0.2,0,-0.2,NA
Jason Collier,31.6,1.2,0.4,0.3,0,0,NA
Pétur Guðmundsson,30.9,1.4,0.6,0.3,-0.1,NA,NA
Robert Sacre,24.7,1.4,0.8,0.3,-0.1,NA,NA
Scott Lloyd,21.6,1.3,1,0.6,0.3,-0.1,-0.6
Bernard James,18.8,1.2,0.5,0.1,NA,NA,NA
Earl Williams,17.9,1.3,1,0.4,0,NA,NA
Wang Zhizhi,15.8,1.5,0.2,0.1,0.1,0.1,NA
Chris Anstey,14.8,1.9,0.6,0.3,NA,NA,NA
Jack Haley,14.4,2.2,0.4,0.3,0.1,0,-0.3
