Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Patrick McFarland,,1.3,0.7,0.4,NA,NA,NA,NA,NA
Ben McDonald,89.1,1.3,0.7,0.3,0.2,NA,NA,NA,NA
Tremaine Fowlkes,84.8,1.2,0.5,0.4,0,NA,NA,NA,NA
James Michael McAdoo,84.5,1.1,0.8,0.5,0,NA,NA,NA,NA
Calvin Garrett,82.6,1.4,0.6,0.6,0,NA,NA,NA,NA
Bo Ellis,80.8,1.1,0.9,0.5,NA,NA,NA,NA,NA
Alec Kessler,79.8,1.2,0.8,0.1,-0.1,NA,NA,NA,NA
Shavlik Randolph,79.5,1.1,0.7,0.4,0.1,0,0,0,0
Viktor Khryapa,79.2,1.3,0.4,0.3,0,NA,NA,NA,NA
Joe Holland,78.9,1.2,0.6,0.2,NA,NA,NA,NA,NA
Ron Riley,78.7,1.6,0.7,0.2,0,NA,NA,NA,NA
