Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1957-58,22,NYK,NBA,C,68,NA,1182,5.3,14.9,0.357,4.6,6.8,0.67,14.6,1,5.3,15.2
1958-59,23,NYK,NBA,C,69,NA,1586,5.4,13.8,0.396,2.9,4.3,0.679,11,0.7,4.1,13.8
1959-60,24,NYK,NBA,C,74,NA,2033,7.2,16.9,0.426,2.4,3.3,0.704,10.6,1.4,4.6,16.7
1960-61,25,NYK,NBA,PF,59,NA,1404,5.1,14.1,0.362,3.1,4.4,0.694,10.1,2.1,4.2,13.3
1961-62,26,CHP,NBA,PF,78,NA,1606,4.3,12,0.361,3,4.8,0.621,13.7,1.9,4.7,11.6
Career,NA,,NBA,,348,NA,7811,5.6,14.4,0.387,3.1,4.6,0.672,11.8,1.5,4.5,14.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,270,NA,6205,5.9,15.1,0.393,3.1,4.5,0.686,11.4,1.3,4.5,14.9
1 season,NA,CHP,NBA,,78,NA,1606,4.3,12,0.361,3,4.8,0.621,13.7,1.9,4.7,11.6
