,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,SEA,NBA,,8,,,,,,3,7,,,,,,,,,17
1973-74,23,MMT,ABA,,4,,0,,,,2,2,,,,,,,,,10
1975-76,25,TOT,ABA,,8,,0,,,,4,5,,,,,,,,,20
1975-76,25,SDS,ABA,,4,,0,,,,2,2,,,,,,,,,9
1975-76,25,VIR,ABA,,8,,0,,,,4,5,,,,,,,,,20
Career,,,TOT,,8,,,,,,4,7,,,,,,,,,20
,,,NBA,,8,,,,,,3,7,,,,,,,,,17
,,,ABA,,8,,0,,,,4,5,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,
1 Season,,SEA,NBA,,8,,,,,,3,7,,,,,,,,,17
1 Season,,VIR,ABA,,8,,0,,,,4,5,,,,,,,,,20
1 Season,,SDS,ABA,,4,,0,,,,2,2,,,,,,,,,9
1 Season,,MMT,ABA,,4,,0,,,,2,2,,,,,,,,,10
