,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,34,ORL,NBA,SG,4,143,,82%,18%,,,-9.7,+2.3,6,3,4,0,14,0,31,1,5
2007-08,35,PHO,NBA,SF,3,68,,,86%,13%,,-6.8,-5.5,0,0,3,0,0,2,6,0,0
2009-10,37,PHO,NBA,SF,16,452,,,81%,19%,,+5.8,-0.2,6,5,18,4,15,3,85,4,5
2012-13,40,LAC,NBA,SF,1,20,,,,57%,43%,+3.5,+10.8,0,0,1,1,0,0,4,0,0
Career,,,NBA,,24,683,,17%,66%,16%,1%,+1.2,+0.2,12,8,26,5,29,5,126,5,10
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,19,520,,,82%,18%,,+4.1,-0.8,6,5,21,4,15,5,91,4,5
1 season,,ORL,NBA,,4,143,,82%,18%,,,-9.7,+2.3,6,3,4,0,14,0,31,1,5
1 season,,LAC,NBA,,1,20,,,,57%,43%,+3.5,+10.8,0,0,1,1,0,0,4,0,0
