Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,DNA,ABA,SF,1,NA,17:00,5,14,0.357,0,0,NA,2,2,1,NA,9,1,NA,NA,NA,5,12
Career,NA,,ABA,,1,NA,17,5,14,0.357,0,0,NA,2,2,1,NA,9,1,NA,NA,NA,5,12
