Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Gus Gerard,,4.3,1.9,1.5,1.3,1.3,0.5,0.3
Jason Kapono,90.9,4.2,1.9,1.3,1.2,0.8,0.5,0.5
Ed Nealy,88.8,4.7,2,1.9,1.3,1.2,0.4,0.3
Jon Leuer,82.3,4.5,2.7,2,1.4,1.3,0.2,0.1
Darrell Arthur,82.1,3.8,2.3,1.7,1.7,0.9,0.7,0.3
Chucky Brown,79.6,4.2,2.2,2.2,2.1,1.6,0.3,0
Ryan Bowen,79.4,3.1,2.1,1.7,1.4,1.1,0.8,0.2
Samaki Walker,79.4,5.3,2.1,2,1.9,1.4,0.6,0.5
Rasual Butler,78.6,4.6,2.6,1.7,1.7,1.6,1.2,0.1
Marty Conlon,78.4,3.1,1.8,1.4,1,0.8,0.6,0.3
Alex Hannum,77.6,5.1,2.1,1.7,1.6,0.5,0.4,NA
