Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Arinze Onuaku,,0.3,0,0
Jawann Oldham,78.7,0.3,0,0
Coby Dietrick,58.3,0.3,0.1,0
Alexis Ajinça,53.0,0.4,0,-0.1
Primož Brezec,38.3,0.3,0.1,0.1
Patrick O'Bryant,34.7,0.3,0.2,0
Rich King,31.5,0.2,0.1,0
Didier Ilunga-Mbenga,29.0,0.5,0.1,0
Oleksiy Pecherov,27.6,0.5,0.1,0
Chris Engler,27.2,0.2,0,0
Paul Davis,24.5,0.2,0.2,0
