Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Arinze Onuaku,,0.3,0,0,NA,NA
Patrick O'Bryant,31.9,0.3,0.2,0,0,NA
Oleksiy Pecherov,27.6,0.5,0.1,0,NA,NA
Joe Cooper,23.7,0.2,0.1,0,NA,NA
Ruben Boumtje-Boumtje,22.2,0.2,0,0,NA,NA
Matt Fish,8.7,0.4,0.2,0,NA,NA
Tom Riker,8.1,0.2,0.2,0,NA,NA
Paul Davis,4.8,0.2,0.2,0,0,NA
Chris Engler,4.3,0.3,0.2,0.2,0,0
Rich King,2.3,0.2,0.1,0,-0.1,NA
Robert Werdann,2.0,0.2,0,-0.1,NA,NA
