Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,25,ROC,NBA,PF,2,NA,NA,3.5,10,0.35,0.5,0.5,1,NA,2,4,7.5
1950-51,26,ROC,NBA,PF,14,NA,NA,3.9,9.9,0.396,2.1,2.9,0.732,12.8,4.7,3.5,10
1951-52,27,ROC,NBA,PF,6,NA,41.2,4,9.8,0.407,1.8,3,0.611,12.2,5.8,4.2,9.8
1952-53,28,ROC,NBA,PF,3,NA,36.7,2.3,8,0.292,2.7,3.3,0.8,13.3,2.3,4.3,7.3
1953-54,29,ROC,NBA,PF,6,NA,39.7,4.5,9,0.5,2.7,3,0.889,12.3,2,2.8,11.7
1954-55,30,ROC,NBA,PF,3,NA,30.3,3.7,12,0.306,0.7,3,0.222,9.3,2.7,3.7,8
1955-56,31,STL,NBA,PF,8,NA,41.4,5.5,14,0.393,2.8,4.4,0.629,9.9,4,3.9,13.8
1956-57,32,STL,NBA,PF,10,NA,31.3,3.6,11.3,0.319,2,3.4,0.588,8.8,3.3,3.2,9.2
1957-58,33,STL,NBA,PF,11,NA,22.1,3.5,8.1,0.427,2.1,3.6,0.575,5.5,1.7,3.5,9
Career,NA,,NBA,,63,NA,33.5,4,10.3,0.385,2.1,3.3,0.646,10.2,3.4,3.6,10
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,ROC,NBA,,34,NA,38.1,3.9,9.8,0.395,2,2.9,0.701,12.3,3.9,3.6,9.7
3 seasons,NA,STL,NBA,,29,NA,30.6,4.1,10.8,0.376,2.2,3.8,0.596,7.8,2.9,3.5,10.4
