Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jack Coleman,,6.7,6.5,6.4,6.2,5.8,5,4.3,4.1,2.6
Antonio Davis,93.1,7.4,7.2,6.5,6.1,6,5.2,5,4,2
Truck Robinson,92.2,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,2.7
Tom Sanders,90.7,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3
Derrick McKey,90.2,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9
Dave DeBusschere,90.0,6.6,6.6,6.2,5.9,5.2,4.7,3.7,3.6,0
Xavier McDaniel,90.0,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3
Nicolas Batum,88.6,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.5
Maurice Lucas,88.6,8.7,7.4,7.1,6.2,5.8,5.5,4.7,3.5,2.4
Armen Gilliam,88.4,7.6,6.8,6.7,6.6,5.1,4.6,4.5,2.8,1.3
Wayman Tisdale,88.4,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,1.8
