,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,25,ROC,NBA,,4,,1,,,,6,9
1950-51,26,ROC,NBA,,8,17,5,6,,,5,18
1951-52,27,ROC,NBA,,6,,3,5,,,6,15
1952-53,28,ROC,NBA,,3,,5,6,,,5,11
1953-54,29,ROC,NBA,,7,,5,5,,,6,17
1954-55,30,ROC,NBA,,6,,2,2,,,5,12
1955-56,31,TOT,NBA,,9,,10,13,,,5,20
1955-56,31,STL,NBA,,9,,10,13,,,5,20
1956-57,32,STL,NBA,,6,15,6,8,,,6,16
1957-58,33,STL,NBA,,8,12,6,9,,,6,22
Career,,,,,9,,10,,,,6,22
6 Seasons,,ROC,NBA,,8,,5,,,,6,18
3 Seasons,,STL,NBA,,9,,10,13,,,6,22
