Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jack Coleman,,6.7,6.5,6.4,6.2,5.8,5,4.3,4.1,2.6,NA,NA,NA
Mike Mitchell,89.5,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4,NA,NA
Keith Van Horn,88.1,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA,NA
Truck Robinson,88.0,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,3.2,2.7,-0.1,NA
Danilo Gallinari,87.4,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1,NA,NA
Ed Davis,87.2,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA,NA
Xavier McDaniel,87.2,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0
Dave Greenwood,85.8,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.7,1.1,0.4
Cazzie Russell,85.6,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3,2.2,2,1.8,1.1
Cliff Levingston,85.5,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA
Luis Scola,85.1,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA,NA
