Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joe Ingles,,7.6,6,5,2.3,2.2
Jim Brewer,90.5,7.9,5.8,4.4,2.6,1.3
Juwan Howard,89.0,7,5.6,4.6,2.8,2.8
Jae Crowder,88.6,7.3,6.7,3.9,2.3,1.5
Greg Smith,88.6,6.8,5.5,4.5,2.7,1.9
Eddie Johnson,88.4,7.4,5.6,5.3,4,1.8
Reggie King,88.3,8.3,6.2,4.8,3.4,1.6
Wil Jones,87.9,7.4,6,4,2.3,0.6
Antonio Davis,87.8,7.4,6,5.2,5,2
Bo Outlaw,87.6,7.6,6.1,2.5,2.3,2.3
Truck Robinson,87.1,7.3,6.5,5.1,4.3,2.7
